iter	Passed	Remaining
0	5	2035
1	10	2087
2	16	2199
3	22	2223
4	28	2244
5	34	2254
6	40	2252
7	46	2256
8	51	2247
9	57	2241
10	62	2212
11	67	2186
12	72	2161
13	77	2138
14	82	2116
15	87	2100
16	91	2056
17	95	2020
18	100	2012
19	105	2003
20	110	1993
21	115	1985
22	120	1972
23	126	1976
24	130	1964
25	136	1958
26	141	1952
27	146	1943
28	151	1940
29	156	1935
30	161	1927
31	167	1925
32	172	1918
33	177	1905
34	182	1898
35	187	1890
36	190	1871
37	194	1857
38	200	1855
39	205	1849
40	210	1843
41	215	1841
42	221	1835
43	226	1829
44	230	1816
45	235	1811
46	239	1799
47	244	1796
48	249	1788
49	254	1782
50	259	1776
51	264	1770
52	269	1763
53	274	1756
54	277	1743
55	282	1737
56	288	1733
57	293	1728
58	297	1721
59	302	1715
60	308	1714
61	313	1707
62	317	1698
63	322	1693
64	327	1687
65	332	1680
66	336	1670
67	341	1666
68	346	1662
69	351	1658
70	356	1653
71	361	1647
72	366	1642
73	371	1638
74	376	1629
75	381	1627
76	386	1621
77	391	1615
78	396	1610
79	400	1602
80	406	1600
81	411	1596
82	416	1591
83	421	1584
84	425	1576
85	430	1572
86	436	1568
87	440	1562
88	445	1558
89	450	1553
90	455	1546
91	460	1540
92	464	1532
93	469	1527
94	473	1521
95	479	1516
96	483	1511
97	488	1506
98	494	1502
99	498	1496
100	504	1493
101	509	1487
102	514	1482
103	519	1477
104	524	1472
105	529	1467
106	533	1462
107	537	1454
108	542	1449
109	548	1445
110	553	1441
111	558	1436
112	563	1431
113	568	1426
114	573	1420
115	577	1414
116	582	1409
117	587	1403
118	592	1398
119	596	1391
120	601	1386
121	606	1381
122	610	1374
123	615	1370
124	620	1365
125	625	1360
126	630	1355
127	636	1351
128	641	1347
129	645	1340
130	650	1335
131	671	1362
132	675	1356
133	680	1351
134	685	1344
135	690	1339
136	695	1334
137	700	1329
138	705	1323
139	709	1317
140	715	1313
141	719	1306
142	724	1302
143	729	1296
144	733	1290
145	738	1284
146	743	1279
147	748	1274
148	753	1268
149	757	1262
150	762	1258
151	767	1252
152	772	1246
153	777	1241
154	781	1235
155	786	1230
156	791	1224
157	796	1219
158	801	1214
159	806	1210
160	811	1204
161	816	1199
162	821	1193
163	826	1188
164	831	1184
165	836	1179
166	841	1173
167	845	1167
168	850	1162
169	855	1157
170	860	1152
171	865	1146
172	870	1142
173	875	1136
174	880	1131
175	897	1142
176	902	1136
177	907	1131
178	911	1125
179	916	1119
180	920	1113
181	925	1108
182	930	1103
183	935	1097
184	939	1092
185	944	1086
186	949	1081
187	954	1075
188	958	1070
189	963	1064
190	968	1059
191	972	1053
192	977	1048
193	982	1043
194	987	1037
195	991	1032
196	996	1027
197	1001	1021
198	1006	1016
199	1010	1010
200	1015	1005
201	1021	1000
202	1025	995
203	1030	989
204	1034	983
205	1039	979
206	1043	973
207	1049	968
208	1054	963
209	1059	958
210	1064	953
211	1068	947
212	1073	942
213	1078	937
214	1083	932
215	1088	927
216	1093	921
217	1098	916
218	1103	911
219	1107	906
220	1112	901
221	1117	895
222	1121	890
223	1126	885
224	1132	880
225	1137	875
226	1142	870
227	1147	865
228	1152	860
229	1157	855
230	1162	850
231	1166	844
232	1171	839
233	1176	834
234	1181	829
235	1186	824
236	1191	819
237	1196	814
238	1201	809
239	1206	804
240	1211	799
241	1216	794
242	1222	789
243	1227	784
244	1232	779
245	1237	774
246	1242	769
247	1246	764
248	1251	758
249	1256	753
250	1261	748
251	1266	743
252	1271	738
253	1275	733
254	1281	728
255	1286	723
256	1291	718
257	1295	712
258	1300	707
259	1305	702
260	1310	697
261	1315	692
262	1320	687
263	1325	682
264	1330	677
265	1334	672
266	1340	667
267	1345	662
268	1349	657
269	1354	651
270	1358	646
271	1363	641
272	1368	636
273	1373	631
274	1378	626
275	1383	621
276	1388	616
277	1393	611
278	1397	606
279	1403	601
280	1408	596
281	1412	591
282	1417	586
283	1422	581
284	1427	576
285	1432	570
286	1437	565
287	1442	560
288	1446	555
289	1451	550
290	1456	545
291	1461	540
292	1466	535
293	1470	530
294	1476	525
295	1481	520
296	1485	515
297	1490	510
298	1495	505
299	1500	500
300	1505	495
301	1510	490
302	1515	485
303	1520	480
304	1525	475
305	1530	470
306	1535	465
307	1540	460
308	1545	455
309	1550	450
310	1555	445
311	1560	440
312	1564	434
313	1569	429
314	1574	424
315	1580	420
316	1584	414
317	1589	409
318	1594	404
319	1599	399
320	1603	394
321	1608	389
322	1613	384
323	1618	379
324	1623	374
325	1628	369
326	1633	364
327	1638	359
328	1643	354
329	1647	349
330	1652	344
331	1657	339
332	1662	334
333	1667	329
334	1672	324
335	1677	319
336	1682	314
337	1687	309
338	1692	304
339	1697	299
340	1702	294
341	1706	289
342	1711	284
343	1716	279
344	1721	274
345	1727	269
346	1731	264
347	1736	259
348	1741	254
349	1745	249
350	1750	244
351	1755	239
352	1760	234
353	1765	229
354	1770	224
355	1775	219
356	1780	214
357	1785	209
358	1790	204
359	1794	199
360	1799	194
361	1804	189
362	1809	184
363	1814	179
364	1819	174
365	1824	169
366	1829	164
367	1834	159
368	1837	154
369	1842	149
370	1847	144
371	1852	139
372	1858	134
373	1862	129
374	1867	124
375	1872	119
376	1892	115
377	1896	110
378	1901	105
379	1906	100
380	1910	95
381	1915	90
382	1920	85
383	1925	80
384	1930	75
385	1935	70
386	1940	65
387	1945	60
388	1950	55
389	1955	50
390	1960	45
391	1964	40
392	1969	35
393	1973	30
394	1978	25
395	1982	20
396	1987	15
397	1991	10
398	1996	5
399	2001	0
