order_id,output
000ddb44-dcb0-4acd-8b75-0c675615dbce,"{""rootcause"": [{""@rid"": ""#-1:0b037b66-4f1e-423a-bb42-1c23432191e9"", ""title"": ""设备掉电"", ""location"": ""sbn=0,NodeMe=140632,Equipment=1,rack=65,shelf=1,board=1"", ""reason"": ""1. 市电异常。\n2. 外部供电设备故障。""}, {""@rid"": ""#-1:dc8dec3e-1791-4a98-bd39-a6fad27d9c5f"", ""title"": ""设备掉电"", ""location"": ""sbn=0,NodeMe=140632,Equipment=1,rack=69,shelf=1,board=1"", ""reason"": ""1. 市电异常。\n2. 外部供电设备故障。""}, {""@rid"": ""#-1:33794956-4e45-43b8-972e-6ffadf4caddd"", ""title"": ""设备掉电"", ""location"": ""sbn=0,NodeMe=140633,Equipment=1,rack=53,shelf=1,board=1"", ""reason"": ""1. 市电异常。\n2. 外部供电设备故障。""}, {""@rid"": ""#-1:dac0137a-260d-4fc2-840c-8d6db38449ba"", ""title"": ""设备掉电"", ""location"": ""sbn=0,NodeMe=140633,Equipment=1,rack=59,shelf=1,board=1"", ""reason"": ""1. 市电异常。\n2. 外部供电设备故障。""}, {""@rid"": ""#-1:ad05b196-5486-46c7-b15c-93d10de2424f"", ""title"": ""设备掉电"", ""location"": ""sbn=0,NodeMe=140633,Equipment=1,rack=57,shelf=1,board=1"", ""reason"": ""1. 市电异常。\n2. 外部供电设备故障。""}]}"
001191cf-d2ed-4fa9-af5d-d57a0280abc3,"{""rootcause"": [{""title"": ""BBU CPRI接口异常告警"", ""reason"": ""567"", ""location"": ""柜号:0; 框号:0; 槽号:1; 端口号:1; 端口号:0; 类型:UBBP; :MAC"", ""@rid"": ""#-1:6efad4b4-20b6-4f08-b93c-4891e2d09b87""}]}"
002ee415-4ac6-4420-8d52-6b7f484e0d7a,"{""rootcause"": [{""title"": ""设备掉电"", ""location"": ""SubNetwork=1003,ManagedElement=57204,Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1"", ""reason"": ""1. 市电异常。\n2. 外部供电设备故障。"", ""@rid"": ""#-1:6e7c2e1c-97b3-44f0-a715-e1a1a845587b""}]}"
003407e1-07d8-46e4-a7c0-3ba69b4ce56e,"{""rootcause"": [{""title"": ""射频单元交流掉电告警"", ""location"": ""柜号:0; 框号:65; 槽号:0; 类型:MRRU"", ""reason"": ""551"", ""@rid"": ""#-1:85f02eda-aa79-41de-bcb6-1b770bee7402""}]}"
006266aa-d65f-4eeb-8081-6973bef39fde,"{""rootcause"": [{""@rid"": ""#-1:a9da1f54-f67f-41f5-94b2-cabe47b956f7"", ""title"": ""射频单元驻波告警"", ""location"": ""柜号:0; 框号:90; 槽号:0; :0; 类型:MRRU; 告警(0.1):30; (0.1):40; 输出(0.1dBm):340; 端口:NULL"", ""reason"": ""516""}]}"
00737db2-3962-4d83-9311-3bec0a685e60,"{""rootcause"": [{""title"": ""射频单元直流掉电告警"", ""location"": ""柜号:0; 框号:152; 槽号:0; 类型:AIRU"", ""reason"": ""551"", ""@rid"": ""#-1:17a3b02e-1668-4d12-ba46-c3b0a99fd06e""}, {""title"": ""射频单元直流掉电告警"", ""location"": ""柜号:0; 框号:150; 槽号:0; 类型:AIRU"", ""reason"": ""551"", ""@rid"": ""#-1:4e5fdfd2-9a1f-4655-b550-0364e1ac445d""}, {""title"": ""射频单元直流掉电告警"", ""location"": ""柜号:0; 框号:151; 槽号:0; 类型:AIRU"", ""reason"": ""551"", ""@rid"": ""#-1:ada5a9e9-e049-4f6f-a360-ef2a4baf7ca8""}]}"
00d11c9a-5a47-4040-a553-e666f56e1808,"{""rootcause"": [{""@rid"": ""#-1:24b09c9a-6bd7-4815-a058-114f6d9ad1da"", ""title"": ""RRU链路断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12784132,Equipment=1,ReplaceableUnit=51"", ""reason"": ""RRU链路断""}]}"
01012db7-d093-4134-b80f-784e18e3ca62,"{""rootcause"": [{""title"": ""RRU链路断"", ""reason"": ""1. BBU和RRU之间或者上下级RRU之间的光纤故障。\n2. RRU光模块或上联的BBU光模块故障。\n3. RRU未供电。\n4. BBU接口单板故障。\n5. RRU故障。\n6. lr端口线速率配置错误。\n7. 单板硬件自检。"", ""location"": ""SubNetwork=1003,ManagedElement=55381,Equipment=1,Rack=65,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1"", ""@rid"": ""#-1:24925756-6c08-474d-a4a2-283abb05f004""}]}"
0120f8b0-a806-47ed-86c7-9b996c4bb1ad,"{""rootcause"": [{""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1401127,Equipment=1,ReplaceableUnit=131"", ""reason"": ""输入电源断"", ""@rid"": ""#-1:22b72168-9570-40ce-b8bd-626e0d317588""}]}"
012ec958-2b95-444e-9c36-a7a3de99c83b,"{""rootcause"": [{""@rid"": ""#-1:2a451e43-f29a-41d7-a258-3805e0cb0a9c"", ""title"": ""RRU链路断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12589000,Equipment=1,ReplaceableUnit=A_2"", ""reason"": ""RRU链路断""}, {""@rid"": ""#-1:7086080b-fb12-4a18-b1b8-a0421cb97442"", ""title"": ""RRU链路断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12589000,Equipment=1,ReplaceableUnit=A_1"", ""reason"": ""RRU链路断""}, {""@rid"": ""#-1:95a58a24-9c21-44d0-896b-7e2ec2533d96"", ""title"": ""RRU链路断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12589000,Equipment=1,ReplaceableUnit=A_3"", ""reason"": ""RRU链路断""}]}"
