order_id,output
001250fc-acbf-45fb-a89b-95d17005e3bf,"{""rootcause"": [{""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=62""}, {""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=64""}, {""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=61""}, {""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1413533,Equipment=1,ReplaceableUnit=63""}]}"
0052146f-c00c-4786-8d58-c2db3ec6baa0,"{""rootcause"": [{""title"": ""单板不在位"", ""location"": ""SubNetwork=5304,ManagedElement=802170,Equipment=1,Rack=1,SubRack=1,Slot=10,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""单板处于初始化状态"", ""location"": ""SubNetwork=5304,ManagedElement=802170,Equipment=1,Rack=1,SubRack=1,Slot=10,PlugInUnit=1,SdrDeviceGroup=1""}]}"
00c65d88-71c7-4efd-838e-6e46d74c1948,"{""rootcause"": [{""title"": ""射频单元CPRI接口异常告警"", ""location"": ""柜号:0; 框号:200; 槽号:0; 端口号:端口0; 端口号:0; 类型:AIRU; :链路故障""}]}"
01b0f97d-4713-4071-8ebd-2e03009fcb3a,"{""rootcause"": [{""title"": ""BBU单板维护链路异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:3; 类型:UBBP""}, {""title"": ""制式间通信异常告警"", ""location"": "":NR; :""}, {""title"": ""单板硬件故障告警"", ""location"": ""柜号:0; 框号:0; 槽号:6; 类型:UMPT; :""}]}"
01fd647b-a016-4988-b94c-561bd5a2500d,"{""rootcause"": [{""title"": ""射频单元CPRI接口异常告警"", ""location"": ""柜号:0; 框号:200; 槽号:0; 端口号:端口0; 端口号:0; 类型:AIRU; :MAC""}]}"
0245e338-a360-497f-9d65-72c73c70c742,"{""rootcause"": [{""title"": ""输入电源断"", ""location"": ""SubNetwork=5304,ManagedElement=2659210,Equipment=1,ReplaceableUnit=54""}, {""title"": ""LTE小区退出服务"", ""location"": ""SubNetwork=5304,ManagedElement=2659210,ENBCUCPFunction=296292,CULTE=1,CUEUtranCellFDDLTE=67""}]}"
025d1580-5bd8-4964-b230-3668ce3a8575,"{""rootcause"": [{""title"": ""输入电源断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12655325,Equipment=1,ReplaceableUnit=55""}, {""title"": ""输入电源断"", ""location"": ""SubNetwork=CMCC-GZ-03,ManagedElement=12655325,Equipment=1,ReplaceableUnit=54""}]}"
039f70ef-1906-4571-86e6-6caf1f41f459,"{""rootcause"": [{""title"": ""单板处于初始化状态"", ""location"": ""SubNetwork=5303,ManagedElement=802202,Equipment=1,Rack=1,SubRack=1,Slot=9,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""初始化失败"", ""location"": ""SubNetwork=5303,ManagedElement=802202,Equipment=1,Rack=1,SubRack=1,Slot=9,PlugInUnit=1,SdrDeviceGroup=1""}]}"
04c4c660-a42b-4c85-ac4f-34ffa598f7ab,"{""rootcause"": [{""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1430049,Equipment=1,ReplaceableUnit=73""}, {""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1430049,Equipment=1,ReplaceableUnit=72""}, {""title"": ""输入电源断"", ""location"": ""SubNetwork=1004,ManagedElement=1430049,Equipment=1,ReplaceableUnit=71""}]}"
050ba66b-e989-48e5-a059-a336a79e0dab,"{""rootcause"": [{""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:1; 端口号:1; 端口号:0; 类型:UBBP; :""}, {""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:0; 端口号:0; 端口号:0; 类型:UBBP; :""}, {""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:0; 端口号:1; 端口号:0; 类型:UBBP; :""}, {""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:1; 端口号:0; 端口号:0; 类型:UBBP; :""}]}"
056a4a59-4bb1-40db-a644-9474b6a3ced9,"{""rootcause"": [{""title"": ""GNSS星卡锁星不足告警"", ""location"": ""柜号:0; 框号:0; 槽号:7; 类型:UMPT; :""}]}"
057ebcd1-2299-447c-9551-1b7cc3f4f78a,"{""rootcause"": [{""title"": ""设备掉电"", ""location"": ""SubNetwork=1003,ManagedElement=78210,Equipment=1,Rack=55,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""设备掉电"", ""location"": ""SubNetwork=1003,ManagedElement=78210,Equipment=1,Rack=51,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}]}"
05d2fb28-fd1f-40b6-ab88-97f6ffdb2a45,"{""rootcause"": [{""title"": ""射频单元CPRI接口异常告警"", ""location"": ""柜号:0; 框号:200; 槽号:0; 端口号:端口1; 端口号:NULL; 类型:MRRU; :""}]}"
06990bf2-277f-4480-97bd-ffb12775c5ca,"{""rootcause"": [{""title"": ""BBU CPRI接口异常告警"", ""location"": ""柜号:0; 框号:0; 槽号:4; 端口号:0; 端口号:0; 类型:UBBP; :""}]}"
06bbfbd3-fc92-42f3-b225-a93706a1a867,"{""rootcause"": [{""title"": ""设备掉电"", ""location"": ""SubNetwork=5301,ManagedElement=594567,Equipment=1,Rack=66,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}]}"
06d346bc-1345-4825-9e01-546cc30ac6ba,"{""rootcause"": [{""title"": ""设备掉电"", ""location"": ""SubNetwork=6,ManagedElement=342182,Equipment=1,Rack=64,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""设备掉电"", ""location"": ""SubNetwork=6,ManagedElement=342182,Equipment=1,Rack=65,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""设备掉电"", ""location"": ""SubNetwork=6,ManagedElement=342182,Equipment=1,Rack=57,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""设备掉电"", ""location"": ""SubNetwork=6,ManagedElement=342182,Equipment=1,Rack=59,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}, {""title"": ""设备掉电"", ""location"": ""SubNetwork=6,ManagedElement=342182,Equipment=1,Rack=58,SubRack=1,Slot=1,PlugInUnit=1,SdrDeviceGroup=1""}]}"
06d84a90-670f-4ccb-b482-9afdb874d164,"{""rootcause"": [{""title"": ""网元连接中断"", ""location"": ""网元名称:CBN-D59002548446PT-H5H; 网元IP地址:10.250.235.173; 网元IP地址(IP Mode):NULL; 端口:6007; 错误:N/A; 信息:状态异常; 分:MediationService0905; OMC IP:10.229.166.143""}, {""title"": ""网元连接中断"", ""location"": ""网元名称:CBN-D59002549663PT-H5H; 网元IP地址:10.250.236.49; 网元IP地址(IP Mode):NULL; 端口:6007; 错误:N/A; 信息:状态异常; 分:MediationService0805; OMC IP:10.229.166.142""}, {""title"": ""网元连接中断"", ""location"": ""网元名称:HL-D3900471292PT; 网元IP地址:100.92.49.194; 网元IP地址(IP Mode):NULL; 端口:6007; 错误:N/A; 信息:状态异常; 分:MediationService0805; OMC IP:10.154.18.16""}, {""title"": ""[衍生告警]PTN光缆中断，单报LOS"", ""location"": ""OIXG4A[0-1-2]-10GE\\:1""}, {""title"": ""[衍生告警]PTN光缆中断，单报LOS"", ""location"": ""OIXG4A[0-1-2]-10GE\\:1""}]}"
06da0faf-ed4d-4329-af78-57eb6c2a9849,"{""rootcause"": [{""title"": ""射频单元CPRI接口异常告警"", ""location"": ""柜号:0; 框号:230; 槽号:0; 端口号:端口0; 端口号:NULL; 类型:MRRU; :CPRI接口异常""}]}"
