iter	Passed	Remaining
0	5	2623
1	10	2675
2	15	2585
3	20	2588
4	26	2612
5	31	2575
6	35	2518
7	41	2525
8	46	2516
9	51	2524
10	56	2516
11	62	2546
12	68	2555
13	73	2545
14	78	2540
15	84	2541
16	89	2541
17	94	2527
18	99	2514
19	104	2512
20	110	2519
21	115	2515
22	123	2551
23	129	2560
24	135	2577
25	142	2594
26	147	2589
27	153	2590
28	159	2585
29	164	2580
30	170	2573
31	175	2571
32	181	2567
33	187	2563
34	192	2562
35	198	2557
36	204	2554
37	209	2551
38	215	2549
39	221	2543
40	226	2531
41	231	2520
42	236	2509
43	241	2503
44	246	2488
45	251	2479
46	256	2474
47	262	2472
48	268	2466
49	273	2463
50	279	2460
51	284	2452
52	290	2447
53	295	2439
54	300	2429
55	305	2423
56	310	2415
57	316	2411
58	321	2406
59	327	2401
60	333	2400
61	338	2392
62	344	2386
63	349	2382
64	355	2376
65	360	2372
66	366	2369
67	372	2366
68	378	2361
69	384	2359
70	389	2354
71	395	2348
72	400	2341
73	406	2338
74	412	2334
75	417	2327
76	423	2324
77	428	2316
78	433	2311
79	439	2306
80	445	2302
81	450	2298
82	456	2293
83	462	2288
84	467	2283
85	472	2276
86	477	2268
87	483	2261
88	488	2255
89	493	2248
90	498	2240
91	503	2234
92	509	2228
93	514	2223
94	520	2217
95	525	2212
96	531	2207
97	537	2202
98	542	2197
99	547	2191
100	553	2187
101	559	2184
102	565	2179
103	571	2174
104	576	2169
105	582	2164
106	587	2157
107	593	2152
108	597	2144
109	602	2137
110	608	2133
111	614	2128
112	619	2121
113	624	2116
114	630	2109
115	635	2103
116	641	2098
117	646	2092
118	651	2085
119	656	2078
120	661	2072
121	666	2064
122	671	2059
123	677	2052
124	681	2045
125	686	2038
126	692	2032
127	697	2026
128	702	2020
129	707	2013
130	712	2007
131	717	2001
132	722	1993
133	727	1987
134	732	1981
135	738	1976
136	743	1970
137	749	1965
138	754	1959
139	759	1953
140	765	1948
141	769	1940
142	775	1934
143	780	1929
144	786	1924
145	791	1918
146	796	1912
147	801	1907
148	807	1902
149	813	1897
150	818	1892
151	824	1886
152	829	1881
153	834	1875
154	840	1871
155	846	1866
156	852	1861
157	859	1859
158	865	1855
159	871	1851
160	876	1846
161	882	1841
162	889	1838
163	895	1834
164	900	1829
165	906	1823
166	912	1818
167	918	1814
168	923	1809
169	929	1804
170	935	1799
171	940	1794
172	946	1789
173	951	1783
174	957	1777
175	962	1772
176	969	1768
177	974	1763
178	980	1757
179	984	1751
180	990	1745
181	995	1740
182	1001	1734
183	1006	1728
184	1012	1723
185	1017	1717
186	1022	1711
187	1028	1706
188	1033	1700
189	1039	1695
190	1044	1689
191	1049	1683
192	1054	1678
193	1060	1672
194	1066	1668
195	1072	1663
196	1078	1658
197	1083	1653
198	1090	1649
199	1096	1644
200	1103	1641
201	1109	1636
202	1115	1631
203	1123	1630
204	1130	1626
205	1136	1622
206	1142	1617
207	1148	1612
208	1154	1607
209	1160	1602
210	1166	1597
211	1171	1591
212	1177	1586
213	1183	1581
214	1189	1576
215	1195	1571
216	1200	1565
217	1206	1560
218	1212	1555
219	1217	1550
220	1223	1545
221	1228	1538
222	1234	1533
223	1240	1528
224	1246	1523
225	1252	1519
226	1258	1513
227	1264	1508
228	1269	1502
229	1274	1496
230	1281	1492
231	1287	1486
232	1292	1481
233	1297	1474
234	1302	1469
235	1308	1463
236	1314	1458
237	1319	1452
238	1325	1447
239	1330	1441
240	1336	1435
241	1341	1430
242	1346	1424
243	1351	1418
244	1358	1413
245	1363	1407
246	1368	1401
247	1373	1395
248	1379	1390
249	1384	1384
250	1390	1379
251	1395	1373
252	1401	1368
253	1407	1363
254	1413	1357
255	1418	1352
256	1436	1357
257	1440	1351
258	1446	1345
259	1451	1340
260	1456	1333
261	1461	1327
262	1467	1322
263	1472	1316
264	1477	1310
265	1483	1304
266	1489	1299
267	1494	1293
268	1500	1288
269	1505	1282
270	1511	1277
271	1516	1271
272	1522	1265
273	1528	1260
274	1533	1254
275	1538	1248
276	1544	1243
277	1549	1237
278	1554	1231
279	1560	1225
280	1565	1219
281	1571	1214
282	1576	1208
283	1582	1203
284	1587	1197
285	1592	1191
286	1597	1185
287	1603	1180
288	1608	1174
289	1613	1168
290	1619	1162
291	1624	1157
292	1629	1151
293	1634	1145
294	1640	1139
295	1645	1134
296	1651	1128
297	1656	1122
298	1661	1116
299	1667	1111
300	1672	1105
301	1678	1100
302	1684	1095
303	1689	1089
304	1694	1083
305	1700	1078
306	1706	1072
307	1711	1066
308	1716	1061
309	1721	1055
310	1726	1049
311	1731	1043
312	1737	1037
313	1742	1032
314	1747	1026
315	1753	1021
316	1759	1015
317	1764	1009
318	1769	1004
319	1774	998
320	1780	992
321	1785	987
322	1790	981
323	1795	975
324	1801	969
325	1806	964
326	1811	958
327	1817	953
328	1822	947
329	1827	941
330	1833	935
331	1837	929
332	1842	923
333	1847	918
334	1852	912
335	1857	906
336	1863	901
337	1868	895
338	1873	889
339	1878	883
