batch_id,kind,status,decision,score,tp,delta_tp,predictions,prediction_delta,submission,sha256
probe01_precision_a,planned_probe,scored,accept,0.906667,952,-1,1056,-3,D:\zgyidong\experiments\v27_closed_loop\submissions\probe01_precision_a.csv,9f1de4c1db7fab49f4ab191fdfee9bdb329c2632e1f23e8736dc166663f5ed12
probe02_precision_b,planned_probe,scored,accept,0.908051,953,0,1055,-4,D:\zgyidong\experiments\v27_closed_loop\submissions\probe02_precision_b.csv,83ec39057bc65f64b8fe80f8cb64b0d8235fdea433a70c999909fa653ae0b4ce
probe05_group_pair,planned_probe,scored,split,0.905553,954,1,1063,4,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair.csv,8dc4b47efc2880d79ead3c362d667dd984cd0347742f06ef69b7d9c67756e9d9
probe07_v26_router,planned_probe,scored,accept,0.906844,954,1,1060,1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe07_v26_router.csv,bdf0ce3959f64f6079e8d23e9af4617dab1f091cc637e3c3e9f223c65620b927
probe08_consensus,planned_probe,scored,accept,0.907275,954,1,1059,0,D:\zgyidong\experiments\v27_closed_loop\submissions\probe08_consensus.csv,f214772ed6123d74cda2b4ea627329f40c3cb12608db5cb45e8aca164a548402
probe09_precision_tail,planned_probe,scored,accept,0.907619,953,0,1056,-3,D:\zgyidong\experiments\v27_closed_loop\submissions\probe09_precision_tail.csv,b860991d201e9480b8be777db3290ee47cf9cf457dc540640220ae8f22b152e7
probe05_group_pair_a,adaptive_split,inferred,reject,0.905982905982906,954,1,1062,3,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_a.csv,ed7dec01cc8e96b8e4f8c019d0affaf7602cb2bde142b9379eef0dd45c470bc4
probe05_group_pair_b,adaptive_split,scored,split,0.905894,953,0,1060,1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_b.csv,a46580dadf6e4a830c986323fb3e95e7925389066f674bb1eb4ccffc7134ceca
probe05_group_pair_a_a,adaptive_split,scored,accept,0.906413,954,1,1061,2,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_a_a.csv,e0d5c824b461373ab1e5f84adb1987c342dfd6340db863e169f1bcd45c28b91e
probe05_group_pair_a_b,adaptive_split,ready,pending,,,,1060,1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_a_b.csv,ec069977a728c76dc016b42d5b92353b1e7bdfab2b0189dd3869e1fea6b82996
probe05_group_pair_a_a_a,adaptive_split,scored,accept,0.906844,954,1,1060,1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_a_a_a.csv,179bd503307dff198eb6f2087f7e888079144112a578b1a12b7e875ea3b5c12b
probe05_group_pair_a_a_b,adaptive_split,inferred,reject,0.905893536121673,953,0,1060,1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_a_a_b.csv,c0769dab5719f02a08869ffdce9882c033cc475286c2754afb182df0ca944042
probe05_group_pair_b_a,adaptive_split,inferred,reject,0.9054631828978622,953,0,1061,2,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_b_a.csv,cdf5ab47248ae108c780c3ceb623c01e57f062dc59e059bcdcf62427b0ecf6cf
probe05_group_pair_b_b,adaptive_split,scored,accept,0.906755,953,0,1058,-1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe05_group_pair_b_b.csv,1e30803ea4903baeabaa8dcb07e73ec5c364740da91a5c116ca3f99072668169
probe10_phase2_precision_next5,phase2_probe,scored,accept,0.906578,951,-2,1054,-5,experiments\v27_closed_loop\submissions\probe10_phase2_precision_next5.csv,871c7315463bf695021fefbb8728111effa8f0a26e2ee920a55e996aa4dd0a05
probe10_phase2_precision_next5_a,adaptive_split,scored,accept,0.906667,952,-1,1056,-3,D:\zgyidong\experiments\v27_closed_loop\submissions\probe10_phase2_precision_next5_a.csv,17237906361be826ea7f03e322c77e3b4c2ccff2eeb95ef7b45396ddde83dd62
probe10_phase2_precision_next5_b,adaptive_split,inferred,reject,0.9062351261304141,952,-1,1057,-2,D:\zgyidong\experiments\v27_closed_loop\submissions\probe10_phase2_precision_next5_b.csv,8df7bb42a965258229e6554922a6ed819e15f140299e61371ee09bb7a08dbea6
probe10_phase2_precision_next5_a_a,adaptive_split,scored,split,0.906235,952,-1,1057,-2,D:\zgyidong\experiments\v27_closed_loop\submissions\probe10_phase2_precision_next5_a_a.csv,e587d2128e6b04eeda013bf07ec0ee83d0d39b8ca3851f9ed83c283b4b5702b4
probe10_phase2_precision_next5_a_b,adaptive_split,inferred,accept,0.9067554709800191,953,0,1058,-1,D:\zgyidong\experiments\v27_closed_loop\submissions\probe10_phase2_precision_next5_a_b.csv,c38e8611679a422b376d4ec32e1bed4b4b27d65472af39aebf90633a31896acc
